datetime,v1,v2,v1_roll,v2_roll,roll_corr
2025-08-01 07:10:30,4622710334.47,10840.333333333334,4625329414.314634,10849.244444444446,-0.38844722379759283
2025-08-01 07:11:00,4622717282.480667,10839.333333333334,4625192775.746,10849.777777777777,-0.3255165259436902
2025-08-01 07:11:30,4622722849.809001,10840.666666666666,4625056169.714001,10850.266666666666,-0.26309632563840557
2025-08-01 07:12:00,4622728979.206667,10838.666666666666,4624919628.480478,10850.855555555554,-0.1814369990408866
2025-08-01 07:12:30,4622737359.982333,10843.333333333334,4624783220.833344,10851.444444444445,-0.10703558817281689
2025-08-01 07:13:00,4622742876.213333,10863.0,4624646819.639711,10851.844444444445,-0.1322523529633789
2025-08-01 07:13:30,4622747723.903,10880.0,4624510403.24509,10852.755555555555,-0.18424730528948585
2025-08-01 07:14:00,4622752366.452,10874.333333333334,4624373951.73039,10854.18888888889,-0.16583809872972355
2025-08-01 07:14:30,4622757149.764667,10849.333333333334,4624237474.620289,10854.833333333334,-0.08778387406763821
2025-08-01 07:15:00,4622762968.135,10845.0,4624101028.292434,10855.333333333334,0.01813859048222699
2025-08-01 07:15:30,4622768313.429,10843.666666666666,4623964572.254622,10855.222222222223,0.07241744656201829
2025-08-01 07:16:00,4622772679.112667,10834.666666666666,4623828061.117701,10854.5,0.09758665594977617
2025-08-01 07:16:30,4622776702.690666,10831.666666666666,4623691421.861423,10853.866666666667,0.14353831067752887
2025-08-01 07:17:00,4622781058.164333,10837.0,4623554643.142467,10853.166666666666,0.14729285583933704
2025-08-01 07:17:30,4622785986.192666,10834.0,4623417816.395922,10852.288888888888,0.13479277769032433
2025-08-01 07:18:00,4622791692.165,10842.0,4623280978.902201,10852.088888888888,0.18048461292525528
2025-08-01 07:18:30,4622796156.108666,10847.666666666666,4623144034.1467,10851.744444444445,0.16611787452440138
2025-08-01 07:19:00,4622799872.461667,10827.0,4623006955.419767,10850.3,0.04743898175356903
2025-08-01 07:19:30,4622803987.373334,10814.333333333334,4622869788.877111,10848.877777777778,-0.009194537668917674
2025-08-01 07:20:00,4622809201.036334,10816.0,4622732594.931322,10847.7,-0.624677694601889
2025-08-01 07:20:30,4622814934.430667,10854.333333333334,4622738489.567945,10847.577777777778,-0.5788391294646023
